"Google API", "Google Scope"
"Compute Engine API, v1", https://www.googleapis.com/auth/devstorage.read_only
"Compute Engine API, v1", https://www.googleapis.com/auth/devstorage.read_write
"Container Analysis API, v1beta1", https://www.googleapis.com/auth/cloud-platform
"Content API for Shopping, v2.1", https://www.googleapis.com/auth/content
"Dataflow API, v1b3", https://www.googleapis.com/auth/cloud-platform
"Dataflow API, v1b3", https://www.googleapis.com/auth/compute
"Dataflow API, v1b3", https://www.googleapis.com/auth/compute.readonly
"Dataflow API, v1b3", https://www.googleapis.com/auth/userinfo.email
"Display & Video 360 API, v1", https://www.googleapis.com/auth/display-video
"Display & Video 360 API, v1", https://www.googleapis.com/auth/display-video-mediaplanning
"Display & Video 360 API, v1", https://www.googleapis.com/auth/display-video-user-management
"Display & Video 360 API, v1", https://www.googleapis.com/auth/doubleclickbidmanager
"DoubleClick Bid Manager API, v1.1", https://www.googleapis.com/auth/doubleclickbidmanager
"Drive API, v3", https://www.googleapis.com/auth/drive
"Drive API, v3", https://www.googleapis.com/auth/drive.appdata
"Drive API, v3", https://www.googleapis.com/auth/drive.file
"Drive API, v3", https://www.googleapis.com/auth/drive.metadata
"Drive API, v3", https://www.googleapis.com/auth/drive.metadata.readonly
"Drive API, v3", https://www.googleapis.com/auth/drive.photos.readonly
"Drive API, v3", https://www.googleapis.com/auth/drive.readonly
"Drive API, v3", https://www.googleapis.com/auth/drive.scripts
"Drive Activity API, v2", https://www.googleapis.com/auth/drive.activity
"Drive Activity API, v2", https://www.googleapis.com/auth/drive.activity.readonly
"Enterprise License Manager API, v1", https://www.googleapis.com/auth/apps.licensing
"Error Reporting API, v1beta1", https://www.googleapis.com/auth/cloud-platform
"Fact Check Tools API, v1alpha1", https://www.googleapis.com/auth/userinfo.email
"Firebase Cloud Messaging API, v1", https://www.googleapis.com/auth/cloud-platform
"Firebase Dynamic Links API, v1", https://www.googleapis.com/auth/firebase
"Firebase Management API, v1beta1", https://www.googleapis.com/auth/cloud-platform
"Firebase Management API, v1beta1", https://www.googleapis.com/auth/cloud-platform.read-only
"Firebase Management API, v1beta1", https://www.googleapis.com/auth/firebase
"Firebase Management API, v1beta1", https://www.googleapis.com/auth/firebase.readonly
"Firebase Rules API, v1", https://www.googleapis.com/auth/cloud-platform
"Firebase Rules API, v1", https://www.googleapis.com/auth/firebase
"Firebase Rules API, v1", https://www.googleapis.com/auth/firebase.readonly
"Fitness API, v1", https://www.googleapis.com/auth/fitness.activity.read
"Fitness API, v1", https://www.googleapis.com/auth/fitness.activity.write
"Fitness API, v1", https://www.googleapis.com/auth/fitness.blood_glucose.read
"Fitness API, v1", https://www.googleapis.com/auth/fitness.blood_glucose.write
"Fitness API, v1", https://www.googleapis.com/auth/fitness.blood_pressure.read
"Fitness API, v1", https://www.googleapis.com/auth/fitness.blood_pressure.write
"Fitness API, v1", https://www.googleapis.com/auth/fitness.body.read
"Fitness API, v1", https://www.googleapis.com/auth/fitness.body.write
"Fitness API, v1", https://www.googleapis.com/auth/fitness.body_temperature.read
"Fitness API, v1", https://www.googleapis.com/auth/fitness.body_temperature.write
"Fitness API, v1", https://www.googleapis.com/auth/fitness.heart_rate.read
"Fitness API, v1", https://www.googleapis.com/auth/fitness.heart_rate.write
"Fitness API, v1", https://www.googleapis.com/auth/fitness.location.read
"Fitness API, v1", https://www.googleapis.com/auth/fitness.location.write
"Fitness API, v1", https://www.googleapis.com/auth/fitness.nutrition.read
"Fitness API, v1", https://www.googleapis.com/auth/fitness.nutrition.write
"Fitness API, v1", https://www.googleapis.com/auth/fitness.oxygen_saturation.read
"Fitness API, v1", https://www.googleapis.com/auth/fitness.oxygen_saturation.write
"Fitness API, v1", https://www.googleapis.com/auth/fitness.reproductive_health.read
"Fitness API, v1", https://www.googleapis.com/auth/fitness.reproductive_health.write
"Fitness API, v1", https://www.googleapis.com/auth/fitness.sleep.read
"Fitness API, v1", https://www.googleapis.com/auth/fitness.sleep.write
"G Suite Vault API, v1", https://www.googleapis.com/auth/ediscovery
"G Suite Vault API, v1", https://www.googleapis.com/auth/ediscovery.readonly
"Genomics API, v1", https://www.googleapis.com/auth/cloud-platform
"Genomics API, v1", https://www.googleapis.com/auth/genomics
"Gmail API, v1", https://mail.google.com/
"Gmail API, v1", https://www.googleapis.com/auth/gmail.addons.current.action.compose
"Gmail API, v1", https://www.googleapis.com/auth/gmail.addons.current.message.action
"Gmail API, v1", https://www.googleapis.com/auth/gmail.addons.current.message.metadata
"Gmail API, v1", https://www.googleapis.com/auth/gmail.addons.current.message.readonly
"Gmail API, v1", https://www.googleapis.com/auth/gmail.compose
"Gmail API, v1", https://www.googleapis.com/auth/gmail.insert
"Gmail API, v1", https://www.googleapis.com/auth/gmail.labels
"Gmail API, v1", https://www.googleapis.com/auth/gmail.metadata
"Gmail API, v1", https://www.googleapis.com/auth/gmail.modify
"Gmail API, v1", https://www.googleapis.com/auth/gmail.readonly
"Gmail API, v1", https://www.googleapis.com/auth/gmail.send
"Gmail API, v1", https://www.googleapis.com/auth/gmail.settings.basic
"Gmail API, v1", https://www.googleapis.com/auth/gmail.settings.sharing
"Google Analytics API, v3", https://www.googleapis.com/auth/analytics
"Google Analytics API, v3", https://www.googleapis.com/auth/analytics.edit
"Google Analytics API, v3", https://www.googleapis.com/auth/analytics.manage.users
"Google Analytics API, v3", https://www.googleapis.com/auth/analytics.manage.users.readonly
"Google Analytics API, v3", https://www.googleapis.com/auth/analytics.provision
"Google Analytics API, v3", https://www.googleapis.com/auth/analytics.readonly
"Google Analytics API, v3", https://www.googleapis.com/auth/analytics.user.deletion
"Google Classroom API, v1", https://www.googleapis.com/auth/classroom.announcements
"Google Classroom API, v1", https://www.googleapis.com/auth/classroom.announcements.readonly
"Google Classroom API, v1", https://www.googleapis.com/auth/classroom.courses
"Google Classroom API, v1", https://www.googleapis.com/auth/classroom.courses.readonly
"Google Classroom API, v1", https://www.googleapis.com/auth/classroom.coursework.me
"Google Classroom API, v1", https://www.googleapis.com/auth/classroom.coursework.me.readonly
"Google Classroom API, v1", https://www.googleapis.com/auth/classroom.coursework.students
"Google Classroom API, v1", https://www.googleapis.com/auth/classroom.coursework.students.readonly
"Google Classroom API, v1", https://www.googleapis.com/auth/classroom.courseworkmaterials
"Google Classroom API, v1", https://www.googleapis.com/auth/classroom.courseworkmaterials.readonly
"Google Classroom API, v1", https://www.googleapis.com/auth/classroom.guardianlinks.me.readonly
"Google Classroom API, v1", https://www.googleapis.com/auth/classroom.guardianlinks.students
"Google Classroom API, v1", https://www.googleapis.com/auth/classroom.guardianlinks.students.readonly
"Google Classroom API, v1", https://www.googleapis.com/auth/classroom.profile.emails
"Google Classroom API, v1", https://www.googleapis.com/auth/classroom.profile.photos
"Google Classroom API, v1", https://www.googleapis.com/auth/classroom.push-notifications
"Google Classroom API, v1", https://www.googleapis.com/auth/classroom.rosters
"Google Classroom API, v1", https://www.googleapis.com/auth/classroom.rosters.readonly
"Google Classroom API, v1", https://www.googleapis.com/auth/classroom.student-submissions.me.readonly
"Google Classroom API, v1", https://www.googleapis.com/auth/classroom.student-submissions.students.readonly
"Google Classroom API, v1", https://www.googleapis.com/auth/classroom.topics
"Google Classroom API, v1", https://www.googleapis.com/auth/classroom.topics.readonly
"Google Cloud Data Catalog API, v1beta1", https://www.googleapis.com/auth/cloud-platform
"Google Cloud Memorystore for Redis API, v1", https://www.googleapis.com/auth/cloud-platform
"Google Docs API, v1", https://www.googleapis.com/auth/documents
"Google Docs API, v1", https://www.googleapis.com/auth/documents.readonly
"Google Docs API, v1", https://www.googleapis.com/auth/drive
"Google Docs API, v1", https://www.googleapis.com/auth/drive.file
"Google Docs API, v1", https://www.googleapis.com/auth/drive.readonly
"Google Identity Toolkit API, v3", https://www.googleapis.com/auth/cloud-platform
"Google Identity Toolkit API, v3", https://www.googleapis.com/auth/firebase
"Google OAuth2 API, v2", https://www.googleapis.com/auth/userinfo.email
"Google OAuth2 API, v2", https://www.googleapis.com/auth/userinfo.profile
"Google OAuth2 API, v2", openid
"Google Play Android Developer API, v3", https://www.googleapis.com/auth/androidpublisher
"Google Play Custom App Publishing API, v1", https://www.googleapis.com/auth/androidpublisher
"Google Play EMM API, v1", https://www.googleapis.com/auth/androidenterprise
"Google Play Game Management, v1management", https://www.googleapis.com/auth/games
"Google Play Game Services, v1", https://www.googleapis.com/auth/drive.appdata
"Google Play Game Services, v1", https://www.googleapis.com/auth/games
"Google Play Game Services Publishing API, v1configuration", https://www.googleapis.com/auth/androidpublisher
"Google Search Console API, v1", https://www.googleapis.com/auth/webmasters
"Google Search Console API, v1", https://www.googleapis.com/auth/webmasters.readonly
"Google Sheets API, v4", https://www.googleapis.com/auth/drive
"Google Sheets API, v4", https://www.googleapis.com/auth/drive.file
"Google Sheets API, v4", https://www.googleapis.com/auth/drive.readonly
"Google Sheets API, v4", https://www.googleapis.com/auth/spreadsheets
"Google Sheets API, v4", https://www.googleapis.com/auth/spreadsheets.readonly
"Google Sign-In", profile
"Google Sign-In", email
"Google Sign-In", openid
"Google Site Verification API, v1", https://www.googleapis.com/auth/siteverification
"Google Site Verification API, v1", https://www.googleapis.com/auth/siteverification.verify_only
"Google Slides API, v1", https://www.googleapis.com/auth/drive
"Google Slides API, v1", https://www.googleapis.com/auth/drive.file
"Google Slides API, v1", https://www.googleapis.com/auth/drive.readonly
"Google Slides API, v1", https://www.googleapis.com/auth/presentations
"Google Slides API, v1", https://www.googleapis.com/auth/presentations.readonly
"Google Slides API, v1", https://www.googleapis.com/auth/spreadsheets
"Google Slides API, v1", https://www.googleapis.com/auth/spreadsheets.readonly
"Google Workspace Alert Center API, v1beta1", https://www.googleapis.com/auth/apps.alerts
"Google Workspace Reseller API, v1", https://www.googleapis.com/auth/apps.order
"Google Workspace Reseller API, v1", https://www.googleapis.com/auth/apps.order.readonly
"Groups Migration API, v1", https://www.googleapis.com/auth/apps.groups.migration
"Groups Settings API, v1", https://www.googleapis.com/auth/apps.groups.settings
"HomeGraph API, v1", https://www.googleapis.com/auth/homegraph
